ら戳,秨絃基,程蔼基,程基,Μ絃基,EMA45,А絬よ,Θユ秖,А秖10ら,А秖よ,戈,щ獺,犁坝,猭,,北絃,磕戈,磕ㄩ,ユ產计,把籔瞯,禦秈產计,芥產计,ㄩ芥緇肂,up.5days
2016/9/23,60.43,60.77,60.35,60.77,58.6,1,4216,6802,0,481,0,2309,2790,1354,1265,1148,528,470,0.4796,130,421,16038,0
2016/9/26,60.43,60.43,60.01,60.01,58.66,1,3737,6653,0,-494,0,-939,-1433,15,-168,1300,524,355,0.3622,231,191,16195,1
2016/9/29,60.73,60.98,60.35,60.77,58.75,1,9624,6733,1,7140,0,713,7853,1782,1338,1130,529,525,0.5385,155,483,16402,0
2016/9/30,60.14,60.31,59.84,59.97,58.8,1,5844,6594,0,195,0,-1062,-867,-469,-615,1549,528,334,0.3426,272,137,16438,1
2016/10/3,60.18,60.52,60.1,60.39,58.87,1,3888,6270,0,1381,0,789,2170,155,153,1455,535,292,0.3001,169,181,16634,0
2016/10/4,60.39,60.64,60.26,60.64,58.95,1,5170,6225,0,2064,55,2214,4333,428,465,1245,643,299,0.3073,127,228,16634,1
2016/10/5,60.52,60.73,60.39,60.43,59.01,1,2838,5520,0,813,55,1328,2196,82,34,1177,632,218,0.224,117,147,16634,1
2016/10/6,60.6,60.64,60.39,60.6,59.08,1,2072,5447,0,-212,0,1377,1165,155,163,1212,633,216,0.222,100,152,16634,0
2016/10/7,60.52,60.69,60.52,60.56,59.15,1,3053,4537,0,1378,0,1227,2605,350,279,1150,634,225,0.2312,105,163,16634,0
2016/10/11,61.15,61.24,60.18,60.39,59.2,1,6946,4739,1,1155,0,3339,4494,372,272,1172,633,350,0.3597,187,277,16055,1
2016/10/12,60.43,61.11,60.31,61.07,59.28,1,6057,4923,1,3486,0,1938,5424,1166,1093,1120,641,431,0.443,148,375,16055,1
2016/10/13,61.03,61.11,60.39,60.6,59.34,1,5455,5095,1,1105,0,-685,420,-134,-271,1195,641,271,0.2785,194,138,16599,1
2016/10/14,60.26,60.77,60.26,60.39,59.38,1,3633,4496,0,79,0,2266,2345,199,110,1195,646,259,0.2662,162,163,16677,1
2016/10/17,60.39,60.52,59.67,60.39,59.43,1,4422,4353,1,-1404,0,1447,43,-253,-315,1215,641,318,0.3268,251,161,16923,1
2016/10/18,60.43,60.81,60.26,60.81,59.49,1,3620,4327,0,422,0,1750,2172,511,552,1222,632,291,0.2991,128,224,16923,1
2016/10/19,60.86,61.36,60.86,61.15,59.56,1,21575,5967,1,1004,0,3090,4094,1636,1209,471,650,484,0.4974,159,428,16837,1
2016/10/20,61.15,61.49,61.15,61.41,59.64,1,4836,6167,0,3724,0,-433,3291,669,587,452,649,374,0.3844,138,305,16837,0
2016/10/21,61.41,61.74,61.32,61.36,59.72,1,4235,6383,0,2393,0,-48,2345,646,569,466,648,342,0.3515,135,283,15236,0
2016/10/24,61.57,61.66,61.36,61.45,59.79,1,3265,6404,0,965,0,1723,2688,176,176,459,641,240,0.2474,109,168,15236,0
2016/10/25,61.57,62.12,61.57,62.04,59.89,1,3716,6081,0,239,0,2646,2885,976,1040,435,635,459,0.4732,156,390,13884,0
2016/10/26,61.7,61.83,61.62,61.7,59.97,1,2868,5763,0,1500,0,-420,1080,71,38,443,629,240,0.2474,139,149,13857,0
2016/10/27,61.7,61.83,61.19,61.36,60.03,1,3170,5534,0,101,0,27,128,-67,-141,430,433,247,0.2546,176,129,14137,0
2016/10/28,61.36,61.49,61.24,61.36,60.09,1,4275,5598,0,-77,0,-1449,-1526,100,70,431,433,206,0.2124,110,124,14389,0
2016/10/31,61.07,61.45,60.6,61.36,60.14,1,5464,5702,0,-282,0,-2020,-2302,-76,-66,458,429,291,0.3,214,166,14942,0
2016/11/1,61.07,61.36,60.94,61.36,60.2,1,2024,5543,0,188,0,-436,-248,82,81,452,429,188,0.195,113,122,14343,0
2016/11/2,60.81,60.86,60.52,60.64,60.21,1,5502,3936,1,-1561,0,-90,-1651,-735,-693,629,423,401,0.416,343,165,7932,0
2016/11/3,60.39,60.52,60.1,60.18,60.21,0,4555,3907,1,-763,0,-786,-1549,-490,-515,744,425,403,0.418,328,174,7932,1
2016/11/4,60.01,60.18,59.88,60.01,60.2,0,4346,3919,1,-1286,56,-716,-1946,-802,-823,740,424,403,0.418,365,108,7045,0
2016/11/7,60.69,60.86,60.39,60.86,60.23,1,3235,3916,0,-47,55,919,927,-192,-10,659,427,368,0.3821,233,223,7045,0
2016/11/8,60.98,61.19,60.86,61.15,60.27,1,2694,3813,0,135,0,-237,-102,449,329,623,427,342,0.3559,175,251,7045,0
2016/11/9,61.57,61.74,59.17,59.17,60.22,0,19937,5520,1,-7222,0,-164,-7386,-4107,-4184,786,396,753,0.7836,722,385,7124,0
2016/11/10,60.69,60.94,60.64,60.86,60.25,1,6700,5873,1,-1245,244,2786,1785,2009,1633,610,395,603,0.6275,270,532,7124,0
2016/11/11,59.46,59.76,59.12,59.21,60.21,0,8376,6283,1,-3284,-106,-2989,-6379,-3178,-2912,863,391,648,0.6743,626,158,6023,1
2016/11/14,59.12,59.42,58.7,59.25,60.17,0,7117,6449,1,-3767,-115,-500,-4382,-813,-877,919,385,498,0.5188,431,216,6535,1
2016/11/15,59,59.25,58.95,59.08,60.12,0,4016,6648,0,-2432,0,369,-2063,-578,-546,916,388,367,0.3831,324,115,6642,1
2016/11/16,59.33,59.59,59.12,59.17,60.08,0,24750,8573,1,-2863,0,1099,-1764,-143,-313,909,389,365,0.381,261,198,7066,1
2016/11/17,59.17,59.33,58.95,59.33,60.04,0,3313,8448,0,-270,0,-1262,-1532,-80,-184,857,397,296,0.309,228,130,7882,1
2016/11/18,59.25,59.5,59.08,59.5,60.02,0,2120,8226,0,-50,0,165,115,-51,-116,788,395,307,0.3205,201,165,8077,1
2016/11/21,59.42,59.59,59.25,59.59,60,0,2650,8167,0,-395,248,229,82,15,11,770,399,232,0.2422,147,139,8077,1
2016/11/22,59.8,60.56,59.8,60.39,60.02,1,5294,8427,0,93,0,1232,1325,1281,1212,634,389,480,0.5016,182,421,8107,1
2016/11/23,60.43,60.77,60.39,60.69,60.05,1,1908,6624,0,-173,0,-63,-236,521,474,596,387,370,0.3866,170,289,8097,0
2016/11/24,60.52,60.52,60.18,60.35,60.06,1,2303,6185,0,-908,0,696,-212,7,-42,596,387,245,0.256,159,141,7297,1
2016/11/25,60.31,60.56,60.22,60.31,60.07,1,2649,5612,0,-1027,0,1761,734,129,127,596,387,225,0.2351,123,134,7749,0
2016/11/28,60.31,60.86,60.31,60.64,60.1,1,2646,5165,0,1506,0,456,1962,1086,948,503,386,375,0.3923,125,320,7789,0
2016/11/29,60.77,60.86,60.56,60.56,60.12,1,1418,4905,0,62,0,194,256,320,247,518,386,243,0.2547,98,191,7673,1
2016/11/30,60.6,60.77,60.43,60.6,60.14,1,1918,2622,0,456,0,-88,368,-8,-31,543,386,222,0.2327,130,132,7673,1
2016/12/1,60.52,60.94,60.52,60.86,60.17,1,1956,2486,0,-175,0,647,472,624,587,555,385,335,0.3512,105,278,7296,1
2016/12/2,60.18,60.18,59.93,60.18,60.17,1,3308,2605,1,644,0,-1901,-1257,-368,-488,674,385,298,0.3124,249,115,7296,1
2016/12/5,60.18,60.18,59.84,60.1,60.17,0,1388,2479,0,-200,0,-728,-928,-54,-161,693,385,183,0.1918,135,92,7296,1
2016/12/6,60.69,61.03,60.64,60.86,60.2,1,2436,2193,1,408,0,1108,1516,731,712,570,385,387,0.4057,111,331,7296,1
2016/12/7,61.03,61.15,60.77,60.86,60.23,1,1467,2149,0,-296,0,145,-151,108,103,589,385,233,0.2442,120,165,7336,1
2016/12/8,61.11,61.7,61.11,61.62,60.29,1,6086,2527,1,3239,0,-1310,1929,1893,1403,462,386,515,0.5398,167,464,7261,1
2016/12/9,61.74,61.87,61.66,61.83,60.35,1,5418,2804,1,2115,0,1082,3197,821,750,452,386,370,0.3878,124,321,6813,0
2016/12/12,61.96,62.17,61.49,61.57,60.41,1,3209,2860,1,630,0,-524,106,339,455,460,385,338,0.355,170,252,6256,0
2016/12/13,61.57,61.7,61.41,61.66,60.46,1,2549,2974,0,-911,0,1759,848,34,24,442,385,219,0.23,127,137,6276,0
2016/12/14,61.87,61.96,61.62,61.79,60.52,1,2828,3065,0,1736,0,-1187,549,326,221,422,382,257,0.27,126,175,6296,0
2016/12/15,61.32,61.7,61.19,61.7,60.57,1,3018,3171,0,-231,0,836,605,-68,-35,388,382,207,0.2174,153,108,6296,0
2016/12/16,61.53,61.53,61.11,61.11,60.59,1,2148,3055,0,-133,0,-260,-393,-157,-222,416,381,227,0.2384,179,82,6316,0
2016/12/19,61.07,61.11,60.73,60.73,60.6,1,2681,3184,0,-252,0,-202,-454,-458,-507,493,382,300,0.3151,254,105,6316,0
2016/12/20,60.81,60.81,60.48,60.64,60.6,1,2030,3143,0,-287,100,-589,-776,-352,-343,547,382,259,0.2721,220,90,5972,0
2016/12/21,60.64,60.73,60.43,60.6,60.6,0,9321,3929,1,2500,210,-3563,-853,-226,-266,615,382,255,0.2679,212,92,6068,0
2016/12/22,60.48,60.48,59.84,59.84,60.57,0,4972,3817,1,-1911,382,-692,-2221,-2016,-2021,710,378,542,0.5693,524,101,6380,1
2016/12/23,59.67,59.88,59.46,59.63,60.53,0,5126,3788,1,-3769,50,1144,-2575,-1672,-1347,767,364,471,0.4947,447,99,6783,1
2016/12/26,59.72,59.84,59.63,59.84,60.5,0,2105,3678,0,-440,0,194,-246,-738,-917,799,363,366,0.3853,337,79,6793,1
2016/12/27,59.84,59.93,59.72,59.8,60.47,0,2494,3672,0,-1028,100,490,-438,-738,-679,816,363,266,0.28,243,57,6793,1
2016/12/28,59.88,60.52,59.88,60.52,60.47,1,3686,3758,0,-279,100,882,703,-119,-6,784,363,349,0.3674,240,203,6793,1
2016/12/29,60.39,60.39,60.18,60.22,60.46,0,1911,3647,0,-267,125,-489,-631,-294,-337,779,363,249,0.2621,197,100,6746,1
2016/12/30,60.56,60.86,60.48,60.69,60.47,1,2726,3705,0,568,0,-742,-174,524,324,769,368,318,0.3347,137,242,6746,1
2017/1/3,60.6,60.77,60.43,60.77,60.48,1,2331,3670,0,-132,0,503,371,81,63,771,372,225,0.2371,135,134,6756,1
2017/1/4,60.86,60.94,60.64,60.73,60.49,1,4284,3896,1,-302,0,2157,1855,218,101,716,376,263,0.2771,146,171,6937,1
2017/1/5,60.73,61.28,60.69,61.28,60.53,1,4574,3421,1,894,0,1580,2474,1632,1343,483,383,455,0.4795,146,406,5146,1
2017/1/6,61.24,61.49,61.24,61.41,60.56,1,3753,3299,1,1715,0,551,2266,657,573,482,383,371,0.3909,156,289,5146,0
2017/1/9,61.49,61.66,61.11,61.24,60.59,1,5038,3290,1,527,0,1445,1972,372,362,477,383,340,0.3583,167,261,5146,0
2017/1/10,61.24,61.36,61.19,61.19,60.62,1,1858,3266,0,552,-185,158,525,203,204,485,383,224,0.236,109,152,4297,0
2017/1/11,61.53,61.57,61.19,61.19,60.65,1,1898,3206,0,184,-398,579,365,150,214,530,380,215,0.2266,105,148,4297,0
2017/1/12,61.36,61.96,61.36,61.83,60.7,1,4857,3323,1,3611,-82,-553,2976,1610,1456,343,385,459,0.4837,143,409,4307,0
2017/1/13,61.53,61.53,61.36,61.36,60.73,1,3910,3523,1,1331,0,-416,915,-141,-162,368,345,236,0.2489,171,115,4200,0
2017/1/16,61.19,61.19,60.69,60.86,60.73,1,2418,3492,0,177,0,-1020,-843,-265,-184,367,339,304,0.3207,248,117,4200,1
2017/1/17,60.86,61.19,60.86,61.11,60.75,1,1573,3416,0,-256,0,136,-120,70,81,373,340,184,0.1947,108,111,4200,1
2017/1/18,61.03,61.03,60.9,60.98,60.76,1,3838,3372,1,783,-65,-847,-129,-30,-27,388,335,202,0.2138,149,92,4200,1
2017/1/19,60.73,60.94,60.52,60.81,60.76,1,4066,3321,1,2441,0,-1399,1042,-396,-424,422,316,256,0.2709,220,73,4200,1
2017/1/20,60.81,61.07,60.81,60.98,60.77,1,2422,3188,0,85,0,691,776,64,93,406,304,210,0.2222,135,117,4471,1
2017/1/23,61.32,61.7,61.32,61.49,60.8,1,5965,3281,1,1217,1500,-840,1877,830,757,309,262,377,0.3989,178,295,4582,1
2017/1/24,61.7,61.96,61.62,61.96,60.85,1,4575,3552,1,344,1683,-600,1427,1126,936,296,115,479,0.5069,200,393,4580,1
2017/2/2,62.12,62.25,61.49,61.62,60.88,1,6999,4062,1,-537,1613,-2643,-1567,-73,-160,287,4,413,0.4384,293,235,4470,1
2017/2/3,61.66,61.83,61.41,61.57,60.91,1,2809,3858,0,-751,0,160,-591,-192,-252,333,0,290,0.3079,223,119,4470,1
2017/2/6,61.7,62.04,61.66,61.91,60.96,1,2947,3761,0,239,0,-123,116,100,123,301,0,364,0.3864,224,235,4440,1
2017/2/7,61.79,62.08,61.79,61.96,61,1,4305,3950,1,846,0,446,1292,-285,-343,359,0,410,0.4357,300,209,4464,1
2017/2/8,62.21,62.21,61.74,62.08,61.05,1,4434,4236,1,-809,0,-1546,-2355,-1717,-1633,439,8,523,0.5558,494,102,4479,1
2017/2/9,62.08,62.47,62,62.3,61.1,1,3548,4207,0,1282,17,830,2129,-372,-412,451,11,378,0.4017,286,164,4486,1
2017/2/10,62.39,63.12,62.39,62.99,61.19,1,4870,4287,1,1333,0,1871,3204,657,542,454,46,443,0.4708,244,335,4720,1
2017/2/13,62.99,63.25,62.99,63.12,61.27,1,3330,4378,0,1975,32,141,2148,348,442,446,69,398,0.4234,232,274,4820,1
2017/2/14,63.51,63.6,63.25,63.34,61.36,1,6072,4389,1,4236,66,-1461,2841,946,688,420,76,455,0.484,225,342,4820,0
2017/2/15,63.43,63.95,63.34,63.95,61.47,1,9407,4872,1,7190,-1796,-759,4635,1291,913,370,82,503,0.5351,247,398,4890,0
2017/2/16,64.03,64.2,63.47,63.56,61.56,1,5467,4719,1,1610,49,1162,2821,-228,-283,448,85,401,0.4266,268,247,4890,0
2017/2/17,63.73,63.77,63.47,63.47,61.65,1,5193,4957,1,2132,-180,2175,4127,29,-37,497,86,254,0.2702,178,130,4820,0
2017/2/18,63.43,63.64,63.34,63.6,61.73,1,3228,4985,0,2364,0,584,2948,64,50,498,86,165,0.1757,94,102,4820,0
2017/2/20,63.64,63.73,63.25,63.25,61.8,1,2803,4835,0,723,0,1142,1865,-300,-383,509,85,281,0.2996,214,120,4820,0
2017/2/21,63.34,63.51,63.21,63.38,61.87,1,3337,4726,0,343,0,1460,1803,80,86,507,87,252,0.2687,159,153,4920,0
2017/2/22,63.69,63.77,63.3,63.43,61.93,1,2938,4665,0,725,0,-143,582,-71,-95,528,88,243,0.2591,184,116,4970,0
2017/2/23,63.38,63.64,63.25,63.25,61.99,1,2332,4411,0,177,183,211,571,-86,-119,549,88,260,0.2772,198,113,4970,0
2017/2/24,63.21,63.43,63.04,63.3,62.05,1,1845,4262,0,48,0,-241,-193,-83,-128,552,92,235,0.2505,167,117,5125,0
2017/3/1,63.25,63.25,62.6,62.6,62.07,1,3107,3966,0,-795,0,-500,-1295,-1277,-1234,624,79,450,0.4797,424,96,5025,1
2017/3/2,63.12,63.38,62.52,62.78,62.1,1,7058,3731,1,-460,0,-193,-653,-1377,-1186,631,87,455,0.4851,409,167,5037,0
2017/3/3,62.56,62.6,62.3,62.39,62.11,1,4410,3625,1,-2508,-82,328,-2262,-2006,-1991,638,88,550,0.5864,538,88,5037,0
2017/3/6,62.34,62.52,62.3,62.43,62.13,1,2177,3324,0,-601,0,-148,-749,-958,-1035,690,83,395,0.4211,369,84,5037,1
2017/3/7,62.52,62.82,62.52,62.69,62.15,1,2027,3203,0,236,-30,47,253,-587,-590,664,89,361,0.3849,301,126,5037,1
2017/3/8,62.86,63.04,62.69,63.04,62.19,1,2182,3141,0,-336,0,322,-14,-299,-317,633,95,346,0.3693,251,173,5115,0
2017/3/9,62.82,62.82,62.26,62.34,62.2,1,3381,3146,1,-1015,-20,-690,-1725,-1672,-1697,766,102,540,0.5769,514,101,5115,1
2017/3/10,62.26,62.34,61.91,62.3,62.2,1,5423,3394,1,-2169,-68,-1018,-3255,-1294,-1343,744,119,500,0.5342,464,157,5643,1
2017/3/13,62.43,62.73,62.43,62.73,62.23,1,2515,3413,0,226,0,67,293,108,205,737,146,334,0.3568,204,207,5643,1
2017/3/14,62.82,63.25,62.82,63.17,62.27,1,3948,3623,1,987,500,709,2196,934,893,666,145,437,0.4669,209,342,5913,1
2017/3/15,62.99,63.17,62.82,63.04,62.3,1,3490,3661,0,342,-130,148,360,39,71,675,121,263,0.281,185,141,5717,1
2017/3/16,63.43,63.9,63.43,63.86,62.37,1,7545,3710,1,4235,900,-1404,3731,3281,2447,383,138,588,0.6289,205,543,5867,1
2017/3/17,63.9,64.12,63.82,64.03,62.44,1,5266,3795,1,2880,0,675,3555,1516,1416,311,125,518,0.554,195,450,5867,1
2017/3/20,63.99,64.16,63.9,63.99,62.51,1,5073,4085,1,1992,0,1187,3179,821,756,327,120,412,0.4406,187,334,5867,1
2017/3/21,64.29,64.81,64.29,64.81,62.61,1,8511,4733,1,4701,0,1219,5920,2402,2167,274,118,553,0.5914,181,506,5867,0
2017/3/22,64.25,64.25,64.03,64.2,62.68,1,4940,5009,0,890,0,-230,660,-207,-323,345,116,447,0.4781,340,245,5638,0
2017/3/23,64.55,64.59,64.16,64.33,62.75,1,4106,5082,0,751,0,312,1063,234,163,336,120,302,0.323,166,206,5638,0
2017/3/24,64.33,64.38,64.12,64.25,62.81,1,3308,4870,0,114,-780,1394,728,338,269,325,120,284,0.3037,141,197,5249,0
2017/3/27,64.03,64.38,63.9,64.2,62.87,1,2474,4866,0,1548,0,-581,967,273,270,337,119,286,0.3069,147,190,5249,1
2017/3/28,64.51,64.55,63.99,64.25,62.93,1,5566,5028,1,535,0,1093,1628,309,317,337,119,312,0.3348,174,215,5249,1
2017/3/29,64.42,64.46,64.03,64.03,62.98,1,2464,4925,0,279,0,430,709,-192,-180,351,122,258,0.2768,203,116,5249,1
2017/3/30,64.03,64.25,63.95,63.95,63.02,1,2181,4389,0,1177,0,406,1583,-99,-69,397,120,226,0.2425,164,92,5249,1
2017/3/31,63.99,64.12,63.77,63.77,63.06,1,2009,4063,0,-118,0,-226,-344,-399,-444,443,126,287,0.3079,256,71,5249,1
2017/4/5,63.99,64.72,63.99,64.59,63.12,1,3594,3915,0,1214,0,521,1735,404,311,277,135,382,0.4103,204,282,5358,0
2017/4/6,64.72,64.72,64.29,64.38,63.18,1,2811,3345,0,108,1168,-1909,-633,-108,-209,307,135,272,0.2922,199,131,5358,0
2017/4/7,64.29,64.29,63.51,64.12,63.22,1,1889,3040,0,-146,0,-736,-882,-571,-617,382,133,370,0.3974,314,148,5454,0
2017/4/10,64.12,64.25,64.03,64.2,63.26,1,1061,2736,0,-44,0,-101,-145,83,90,399,133,210,0.2256,120,123,5454,0
2017/4/11,64.12,64.38,63.82,63.95,63.29,1,1267,2532,0,613,0,-421,192,-56,-115,411,133,251,0.2699,200,102,5454,0
2017/4/12,63.95,64.12,63.73,64.08,63.33,1,1940,2478,0,1530,-80,-769,681,169,164,389,143,228,0.2452,140,135,5250,0
2017/4/13,63.95,64.42,63.95,64.38,63.37,1,6005,2522,1,5057,0,-1367,3690,217,121,375,137,267,0.2871,135,182,5081,0
2017/4/14,63.95,63.95,63.6,63.64,63.38,1,2674,2543,1,-4,0,-1847,-1851,-898,-1032,462,136,421,0.4527,372,109,4682,0
2017/4/17,63.64,63.86,63.47,63.69,63.4,1,5339,2859,1,-577,2000,-3116,-1693,-475,-573,492,135,353,0.3796,285,133,4682,1
2017/4/18,63.9,64.03,63.6,63.69,63.41,1,4100,3068,1,-578,1898,-2315,-995,-426,-340,528,140,266,0.286,224,99,4637,1
2017/4/19,63.25,63.38,62.86,62.99,63.39,0,9185,3627,1,-7146,0,177,-6969,-3662,-3576,958,144,612,0.6581,600,93,4637,1
2017/4/20,62.78,63.08,62.73,62.99,63.37,0,3142,3660,0,-1296,-533,-711,-2540,-1395,-1536,1034,149,469,0.5043,435,119,4637,1
2017/4/21,63.38,63.6,63.25,63.6,63.38,1,3247,3796,0,-747,0,-30,-777,-365,-266,799,150,388,0.4172,288,186,4637,1
2017/4/24,63.95,63.99,63.56,63.73,63.4,1,4309,4121,1,-1341,750,-646,-1237,157,39,749,150,309,0.3323,206,177,4625,1
2017/4/25,63.9,64.38,63.77,64.33,63.44,1,5698,4564,1,551,0,1038,1589,1175,1099,556,150,415,0.4462,176,346,4625,1
2017/4/26,64.64,64.64,64.38,64.51,63.49,1,4118,4782,0,1878,0,1382,3260,595,419,545,151,364,0.3914,155,276,4625,1
2017/4/27,64.33,64.46,64.16,64.46,63.53,1,3685,4550,0,1482,-1747,265,0,248,248,466,151,278,0.2989,143,189,4625,1
2017/4/28,64.46,64.55,64.29,64.51,63.57,1,4423,4725,0,191,0,1963,2154,928,806,472,151,360,0.3871,119,304,4625,1
2017/5/2,64.9,65.24,64.9,65.07,63.64,1,15728,5764,1,9805,0,3663,13468,3676,2618,337,151,600,0.6452,190,556,4625,1
2017/5/3,65.16,65.46,65.16,65.37,63.71,1,4712,5825,0,2856,0,47,2903,1410,1148,310,152,461,0.4957,155,402,4625,1
2017/5/4,65.37,65.46,65.2,65.46,63.79,1,3997,5306,0,3238,0,-339,2899,949,893,276,152,357,0.3839,98,310,4401,1
2017/5/5,65.29,65.29,64.98,65.03,63.84,1,5288,5521,0,3798,0,-926,2872,143,-1,299,151,283,0.3043,181,166,4401,1
2017/5/8,65.37,65.5,65.11,65.5,63.91,1,4083,5604,0,2672,-604,-711,1357,442,481,272,151,302,0.3251,125,238,4401,1
2017/5/9,65.5,66.19,65.5,65.72,63.99,1,4190,5592,0,1868,0,-933,935,1069,861,242,133,460,0.4952,189,388,4401,1
2017/5/10,65.89,66.07,65.76,65.98,64.08,1,1763,5199,0,359,0,140,499,315,295,256,128,313,0.3369,152,224,4401,1
2017/5/11,65.85,66.19,65.76,66.19,64.17,1,2018,4989,0,272,0,-475,-203,458,350,267,128,341,0.3671,151,258,4401,0
2017/5/12,65.98,66.19,65.89,66.02,64.25,1,2811,4901,0,-230,0,-1795,-2025,131,106,268,126,227,0.2443,127,140,4401,0
2017/5/15,66.02,66.24,65.94,66.19,64.34,1,1286,4588,0,42,0,-105,-63,104,80,255,125,247,0.2659,132,156,4401,0
2017/5/16,66.19,66.28,65.98,66.19,64.42,1,1598,3175,0,462,0,-142,320,272,302,185,125,247,0.2659,125,166,4401,0
2017/5/17,66.02,66.11,65.81,66.02,64.49,1,1332,2837,0,-32,0,-221,-253,52,-5,215,125,225,0.2422,129,128,4401,0
2017/5/18,65.46,65.68,65.16,65.68,64.54,1,4272,2864,1,-109,-1927,2114,78,-385,-410,256,124,292,0.3143,224,126,4401,1
2017/5/19,65.46,65.68,65.46,65.63,64.59,1,1163,2452,0,-41,0,-394,-435,15,-32,255,124,171,0.1841,115,87,4401,1
2017/5/22,65.72,65.89,65.55,65.81,64.64,1,2576,2301,1,-440,0,-803,-1243,62,45,266,124,215,0.2314,131,121,4401,1
2017/5/23,65.81,66.15,65.76,66.07,64.7,1,3844,2266,1,-1867,0,1507,-360,282,282,227,124,246,0.2648,115,176,4020,1
2017/5/24,66.07,66.15,65.98,66.02,64.76,1,2886,2379,1,-1105,-241,1116,-230,56,5,216,124,182,0.1959,115,105,4020,1
2017/5/25,66.37,66.63,66.15,66.63,64.84,1,4682,2645,1,-903,-731,2250,616,939,756,177,123,389,0.4187,145,318,4020,1
2017/5/26,66.63,66.76,66.41,66.58,64.92,1,4018,2766,1,-3141,0,1690,-1451,68,68,182,122,229,0.2465,122,141,4020,1
2017/5/31,66.58,67.06,66.11,66.19,64.97,1,2701,2907,0,-1760,90,392,-1278,-181,-302,214,122,290,0.3122,224,125,3911,1
2017/6/1,66.19,66.54,66.19,66.54,65.04,1,2222,2970,0,-101,-795,23,-873,32,17,206,122,231,0.2487,141,125,3911,1
2017/6/2,66.89,66.89,66.67,66.8,65.12,1,3541,3191,1,-1782,0,1032,-750,153,165,187,122,245,0.2637,123,167,3911,1
2017/6/3,66.84,66.97,66.84,66.97,65.2,1,2052,2969,0,200,0,646,846,126,163,184,122,195,0.2099,76,153,2133,1
2017/6/5,66.93,67.49,66.84,67.49,65.3,1,3282,3180,1,152,-243,748,657,449,454,192,122,339,0.3649,155,259,2133,0
2017/6/6,67.45,67.45,67.23,67.45,65.39,1,1203,3043,0,-4,0,-657,-661,63,6,190,126,223,0.24,147,114,2133,0
2017/6/7,67.41,67.58,67.23,67.45,65.48,1,1845,2843,0,-355,0,-431,-786,74,87,173,128,240,0.2583,151,137,2133,0
2017/6/8,67.45,67.71,67.32,67.71,65.58,1,1887,2743,0,-676,0,492,-184,207,201,172,128,243,0.2616,125,157,2133,0
2017/6/9,67.54,67.8,67.45,67.49,65.66,1,3010,2576,1,-604,0,-1001,-1605,-108,-140,171,127,257,0.2766,188,107,2133,0
2017/6/12,66.76,67.06,66.67,66.76,65.71,1,3301,2504,1,-1100,0,-1137,-2237,-518,-473,247,127,345,0.3714,296,108,2133,1
2017/6/13,66.76,66.89,66.63,66.84,65.76,1,1616,2396,0,-784,0,237,-547,-215,-225,247,129,248,0.267,193,97,2133,1
2017/6/14,66.97,66.97,66.19,66.5,65.79,1,3381,2512,1,-518,0,-70,-588,-459,-433,280,129,315,0.3391,271,122,2133,1
2017/6/15,66.45,66.54,66.28,66.54,65.82,1,1507,2308,0,-303,0,-346,-649,-21,-9,286,129,258,0.2777,180,116,2133,1
2017/6/16,66.54,67.23,66.5,67.23,65.88,1,4233,2527,1,708,0,-361,347,246,185,192,129,301,0.324,176,196,2133,1
2017/6/19,67.23,67.97,67.23,67.97,65.97,1,5145,2713,1,-526,2100,-1790,-216,550,449,181,120,393,0.4239,185,290,2133,1
2017/6/20,68.01,68.92,68.01,68.75,66.09,1,4047,2997,1,406,0,640,1046,467,521,189,109,442,0.4768,235,328,2133,1
2017/6/21,68.53,69.14,68.23,68.83,66.21,1,13613,4174,1,3725,0,-2177,1548,756,428,187,108,334,0.3603,170,242,2133,1
2017/6/22,68.88,69.09,68.83,69.01,66.34,1,6113,4597,1,-411,0,3973,3562,307,208,173,109,275,0.2967,152,187,2133,1
2017/6/23,69.01,69.27,68.92,68.96,66.45,1,8517,5147,1,-109,0,3229,3120,371,318,161,109,289,0.3118,136,216,2133,1
2017/6/26,69.05,70.52,69.05,70.43,66.62,1,14254,6243,1,7990,0,-2406,5584,1227,644,168,109,439,0.4736,231,352,2123,0
2017/6/27,70.43,70.52,70.09,70.35,66.78,1,3026,6384,0,586,0,382,968,66,10,193,109,320,0.3456,208,183,2123,0
2017/6/28,70,70.13,69.48,69.7,66.91,1,6287,6674,0,212,-1730,2880,1362,-179,-292,275,109,356,0.3844,256,189,2123,1
2017/6/29,70.09,70.13,69.66,69.79,67.04,1,1427,6666,0,-443,0,324,-119,26,90,286,109,271,0.2927,168,159,2123,0
2017/6/30,69.31,69.57,69.05,69.57,67.15,1,3071,6550,0,230,-970,103,-637,-56,-87,294,109,290,0.3132,214,155,2123,0
2017/7/3,69.57,69.74,69.4,69.61,67.25,1,1551,6191,0,31,0,-474,-443,45,-69,322,108,274,0.2959,169,146,2123,0
2017/7/4,69.61,69.74,69.22,69.22,67.34,1,1237,5910,0,-103,0,-477,-580,-84,-210,332,110,225,0.243,166,97,2123,1
2017/7/5,69.31,69.87,69.01,69.87,67.45,1,2274,4776,0,360,0,278,638,36,77,324,115,299,0.3229,210,158,2123,1
2017/7/6,69.87,69.87,69.4,69.57,67.54,1,2492,4414,0,-1760,0,316,-1444,-216,-222,362,114,224,0.2419,185,83,2123,1
